SMILES,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,BertzCT,Solubility_mg_L
CCCN1C(=O)N(CCC)C2=C([NH]C(=N2)C3CCC(=O)C3)C1=O,318.3770000000001,1.5428999999999995,86.79470000000003,23.0,6.0,1.0,7.0,5.0,124.0,2.0,1.0,1.0,3.0,89.75,132.89421339324142,2.2105906393487977,858.5581095098047,220.26306902825823
CC[S](=O)(=O)c1nc2ccccn2c1[S](=O)(=O)NC(=O)Nc3nc(OC)cc(OC)n3,470.48900000000015,0.4454999999999994,107.39500000000002,31.0,11.0,2.0,15.0,7.0,166.0,3.0,0.0,0.0,3.0,170.9499999999999,176.9648234360712,1.9885891700550204,1329.7842676964742,17.924600051375176
CN1C=C(I)C=CC1=O,235.024,0.9899,44.40000000000001,9.0,2.0,0.0,3.0,0.0,48.0,1.0,0.0,0.0,1.0,22.0,66.64932492252281,3.339139692242722,266.00552478320776,229991.7265409037
[Bi+3].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,398.0790000000002,-5.633399999999997,34.958800000000004,14.0,7.0,1.0,8.0,5.0,76.0,0.0,0.0,0.0,0.0,140.62,97.4737204993188,0.0,232.5645747934132,10.970000000650437
ClC1=C(Cl)C(Cl)(Cl)C(=C1Cl)Cl,272.773,4.5523,51.901,11.0,0.0,0.0,6.0,0.0,62.0,0.0,0.0,1.0,1.0,0.0,93.63357962880828,3.266578967542274,234.1462079614724,1.8001196810977511
COC(=O)COc1nc(F)c(Cl)c(N)c1Cl,269.059,1.6615,56.13840000000001,16.0,5.0,1.0,8.0,3.0,88.0,1.0,0.0,0.0,1.0,74.44,100.24644855639308,2.9314149827025315,428.2347167860317,30.100000003052816
[Ca++].[O-][S](=O)(=O)C[S]([O-])(=O)=O,214.233,-2.3465,30.0154,10.0,6.0,0.0,9.0,2.0,56.0,0.0,0.0,0.0,0.0,114.39999999999998,88.11229104313496,0.0,240.869677188533,286013.39258471545
CCCCCCCCCC(O)=O.CCCCCCCC(O)=O.OCC(CO)(CO)CO,452.62900000000025,3.5852000000000017,122.03380000000008,31.0,6.0,6.0,8.0,18.0,188.0,0.0,0.0,0.0,0.0,155.51999999999995,187.86808656487705,-3.839234387638026e-07,366.2629857322014,0.0499999999975951
Oc1c(Br)cc(cc1Br)C#N,276.915,2.78888,48.22180000000001,11.0,2.0,1.0,4.0,0.0,56.0,1.0,0.0,0.0,1.0,44.02,80.71825387884103,3.3483696607830966,306.6978379924635,130.00093663983026
FC(F)OC(F)(F)C(F)Cl,184.491,2.3528,22.785,10.0,1.0,0.0,7.0,3.0,62.0,0.0,0.0,0.0,0.0,9.23,57.713623727642485,3.865558930238736,105.06618564394176,5620.503011946292
Clc1cc2Oc3cc(Cl)c(Cl)cc3Oc2cc1Cl,321.9740000000001,6.198200000000001,73.07200000000002,18.0,2.0,0.0,6.0,0.0,92.0,2.0,0.0,1.0,3.0,18.46,122.9228215385722,2.115832067928514,543.5110495664155,0.0001999957666775
NCCNCCO,104.153,-1.4729999999999996,29.009899999999995,7.0,3.0,3.0,3.0,4.0,44.0,0.0,0.0,0.0,0.0,58.28,43.51806400383614,2.4474728878763443,28.87076540327685,999999.9999682886
Clc1cc(Cl)c(c(Cl)c1)c2cc(Cl)cc(Cl)c2,326.437,6.620600000000001,76.92800000000003,17.0,0.0,0.0,5.0,1.0,88.0,2.0,0.0,0.0,2.0,0.0,124.00482845996936,2.6780260504128828,533.848938365776,0.003924635952432
NC(=N)NC(=O)C1=NC(=C(N)N=C1N)Cl,229.631,-1.0823300000000011,55.24709999999998,15.0,6.0,5.0,9.0,1.0,80.0,1.0,0.0,0.0,1.0,156.79,89.32025691101963,3.0922445639981544,431.7337408904828,309.7636956924039
CCNC(=O)COC(=O)c1ccccc1,207.229,0.9794999999999998,55.40820000000003,15.0,3.0,1.0,4.0,4.0,80.0,1.0,0.0,0.0,1.0,55.4,88.24256530468244,2.404221436579065,334.94608753298064,1199.9151349594963
C1N[C@@H](CC=C1)c2cccnc2,160.22,1.6722,48.73770000000002,12.0,2.0,1.0,2.0,1.0,62.0,1.0,0.0,1.0,2.0,24.92,72.33018967032106,2.1465524794439075,266.4268853283456,1000038.517004759
[Cs+].[Cs+].[O-]C([O-])=O,325.8180000000001,-8.439,5.396,6.0,3.0,0.0,5.0,0.0,24.0,0.0,0.0,0.0,0.0,63.19,153.09881892225653,-4.4999999250000016e-08,31.774437510817343,2773600.000201961
CCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,282.336,3.320700000000003,75.09490000000002,20.0,5.0,3.0,5.0,8.0,112.0,1.0,0.0,0.0,1.0,86.99000000000002,118.37365073520516,2.3277387125884665,418.8851677560183,35.99699581377086
[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O,227.085,-1.0200999999999996,37.760200000000026,15.0,9.0,0.0,12.0,8.0,86.0,0.0,0.0,0.0,0.0,157.11,80.63081361107673,3.9922055468289934,234.9871242601569,1599.999999925766
COC1=C2CCCC3CN(C(=N)N)CC(=C23)C=C1,245.326,1.8241700000000003,70.99710000000003,18.0,2.0,2.0,4.0,1.0,96.0,1.0,0.0,2.0,3.0,62.34,107.23789832359913,2.08176053554905,498.0576256632338,14782.35330132779
OCC1OC(O)(CO)C(O)C1O,180.156,-3.2198,36.008,12.0,6.0,5.0,6.0,2.0,72.0,0.0,1.0,1.0,1.0,110.38,68.64284443677028,2.7241122341039645,162.11730005192322,786409.4627305932
FC1CC(F)(F)C(F)(F)C1(F)F,196.065,2.6341,24.354,12.0,0.0,0.0,7.0,0.0,72.0,0.0,1.0,1.0,1.0,0.0,62.35193615237039,3.099777273392108,195.97341629985488,717.0000000714821
[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-][S](=O)(=O)c1ccc(cc1)N=Nc2ccc(cc2)N=Nc3ccc(\C=C\c4ccc(cc4[S]([O-])(=O)=O)N=Nc5ccc(cc5)N=Nc6ccc(cc6)[S]([O-])(=O)=O)c(c3)[S]([O-])(=O)=O.[O-][S](=O)(=O)c7ccc(cc7)N=Nc8ccc(cc8)N=Nc9ccc(/C=C/c%10ccc(cc%10[S]([O-])(=O)=O)N=Nc%11ccc(\C=C\c%12ccc(cc%12[S]([O-])(=O)=O)N=Nc%13ccc(cc%13)N=Nc%14ccc(cc%14)[S]([O-])(=O)=O)c(c%11)[S]([O-])(=O)=O)c(c9)[S]([O-])(=O)=O,2420.103999999997,-9.296000000000037,514.1880000000016,158.0,48.0,0.0,68.0,34.0,756.0,14.0,0.0,0.0,14.0,794.4800000000004,1124.7416594696144,7.958332397570939e-07,8713.637497227039,141999.99999719905
OC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,354.87499999999983,3.995,72.4638,17.0,1.0,1.0,7.0,0.0,94.0,0.0,1.0,3.0,3.0,20.23,128.24086164592885,2.3171842796726305,471.41658125243583,1.2304823980434214
CNC1=C(NC2=C3C=CC=CC3=NC3=C2C=CC=C3)C=CC(NS(C)(=O)=O)=C1,392.48400000000015,4.544800000000003,116.98690000000002,28.0,5.0,3.0,7.0,5.0,142.0,4.0,0.0,0.0,4.0,83.12,163.2117210420104,1.8513672623370376,1232.326571007617,450.6319259795827
CCCCC1(CC=C)C(=O)NC(=O)NC1=O,224.26,1.1050999999999995,58.453400000000016,16.0,3.0,2.0,5.0,5.0,88.0,0.0,1.0,1.0,1.0,75.27000000000002,94.27752865342954,2.9577347216921104,316.1213765704842,1516.1836806140584
CCOP(=S)(OCC)Oc2ccc1oc(=O)c(Cl)c(C)c1c2,362.7710000000001,4.431120000000004,90.39600000000004,22.0,6.0,0.0,8.0,6.0,120.0,2.0,0.0,0.0,2.0,57.9,137.9279471658833,2.448076436182876,778.6322379127124,1.5053329300051002
CCOC(=O)C(C)O,118.13199999999998,-0.0697,28.313799999999983,8.0,3.0,1.0,3.0,2.0,48.0,0.0,0.0,0.0,0.0,46.53,48.26832056716263,3.329150037184473,77.74296763342026,999925.2993867748
CCCCCCCCCCCC(=O)OCC(O)CO,274.40099999999995,2.8037000000000014,75.89560000000004,19.0,4.0,2.0,4.0,13.0,114.0,0.0,0.0,0.0,0.0,66.76,116.71197546332476,3.1839590366954367,206.3222550413413,5.999999999364824
[Na+].[O-][N+](=O)c1ccc(Nc2ccc(Nc3ccccc3)c(c2)[S]([O-])(=O)=O)c(c1)[N+]([O-])=O,452.38000000000017,0.8982999999999998,107.16340000000004,31.0,9.0,2.0,13.0,7.0,154.0,3.0,0.0,0.0,3.0,167.54,197.99330297659333,3.4133287968062617e-06,1236.9106032880168,2860.000000136651
CCOC(=O)N1C(=O)c2ccccc2C1=O,219.196,1.4391,53.96400000000002,16.0,4.0,0.0,5.0,1.0,82.0,1.0,0.0,1.0,2.0,63.68,91.60822773779232,2.387792812010076,445.6278361097199,400.0000000278821
Clc1ccc(c(Cl)c1)c2cccc(Cl)c2Cl,291.992,5.967200000000003,71.91800000000002,16.0,0.0,0.0,4.0,1.0,82.0,2.0,0.0,0.0,2.0,0.0,113.70156223308769,2.6325498233141515,534.5371240740592,0.0608234363374629
COC1(C)COC(C)(CO1)OC,176.21199999999996,0.7584,42.732000000000006,12.0,4.0,0.0,4.0,2.0,72.0,0.0,1.0,1.0,1.0,36.92,72.7421955931041,2.490703945286552,131.13685006057713,10000.817000825087
FCCCl,82.505,1.1947,16.695,4.0,0.0,0.0,2.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,29.57299477203405,1.9747448713915887,8.0,24399.46302443284
C[C@]1(Cn2ccnn2)[C@@H](N3[C@@H](CC3=O)[S]1(=O)=O)C(O)=O,300.296,-1.523199999999998,64.02160000000002,20.0,7.0,1.0,10.0,3.0,108.0,1.0,2.0,2.0,3.0,122.46,113.637122738197,2.097498683882936,684.5109353405426,4355.999999683379
ClC/C=C/CCl,124.998,2.0202,30.57999999999999,6.0,0.0,0.0,2.0,2.0,36.0,0.0,0.0,0.0,0.0,0.0,47.75100679259846,2.7343859935615487,34.8127439131334,849.968956533253
C=CC(=O)OCC1CCCO1,156.18099999999995,0.8945999999999998,40.13000000000001,11.0,3.0,0.0,3.0,3.0,62.0,0.0,1.0,1.0,1.0,35.53,65.98702420194985,2.1038316924891984,147.41616035477006,79100.00000305109
FC(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,521.064,6.659600000000002,49.68599999999999,31.0,1.0,0.0,22.0,6.0,188.0,0.0,0.0,0.0,0.0,3.24,152.8948650746567,7.517309656819621,554.8893687913524,0.0003809999999838
CC(C)c1cccc2ccccc12,170.25499999999997,3.9632000000000014,58.03700000000004,13.0,0.0,0.0,0.0,1.0,66.0,2.0,0.0,0.0,2.0,0.0,79.207893994422,2.756733762067337,407.8127536956117,2.8100000000180483
O1CC(O)C(O)C(O)C1(O)CO,180.156,-3.2198,36.008,12.0,6.0,5.0,6.0,1.0,72.0,0.0,1.0,1.0,1.0,110.38,68.64284443677028,2.705837489211811,162.11730005192322,786409.4627305932
