SMILES,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,BertzCT,Solubility_mg_L
CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],392.50999999999993,3.9581000000000026,102.44540000000008,23.0,0.0,0.0,2.0,17.0,142.0,0.0,0.0,0.0,0.0,0.0,158.52060058500794,0.0,210.377334085253,94.9999999954145
CO[Si](CCCN=C=O)(OC)OC,205.286,0.5903999999999998,49.19350000000003,13.0,5.0,0.0,6.0,7.0,76.0,0.0,0.0,0.0,0.0,57.120000000000005,79.07735682073559,3.8734286416774055,169.06669317043503,113.599999997539
CCCCCCCC/C=C\CCCCCCCC(=O)OCC(O)COB(O)O.CCCCCCCC/C=C\CCCCCCCC(=O)OCC(O)COB(O)OCC(O)COC(=O)CCCCCCC/C=C\CCCCCCCC.CCCCCCCC/C=C\CCCCCCCC(=O)OCC(O)COB(OCC(O)COC(=O)CCCCCCC/C=C\CCCCCCCC)OCC(O)COC(=O)CCCCCCC/C=C\CCCCCCCC,2216.691000000001,29.64000000000008,638.1372000000025,156.0,27.0,9.0,30.0,120.0,912.0,0.0,0.0,0.0,0.0,395.25000000000006,952.4933598980932,-2.507397542147205e-06,2927.06011800348,10.0000000000106
CCCCCCCCCCCCCCCC(=O)NCC(=O)O,313.482,4.6685000000000025,90.95750000000008,22.0,2.0,2.0,4.0,16.0,130.0,0.0,0.0,0.0,0.0,66.4,135.6104071084635,3.107593513656218,279.5058337171213,0.799999999982631
CCCCOC(=O)c1ccc(C(=O)OCCCC)cc1,278.3479999999999,3.600400000000003,76.82300000000005,20.0,4.0,0.0,4.0,8.0,110.0,1.0,0.0,0.0,1.0,52.60000000000001,119.63095892256436,2.503712391104127,381.6079421689099,0.109999999995305
CCNc1cc(C#N)c(N)c2c1C(=O)c1ccccc1C2=O,291.31,2.3476800000000004,83.04010000000002,22.0,5.0,2.0,5.0,2.0,108.0,2.0,0.0,1.0,3.0,95.98,126.91275350619183,2.3868099542133563,862.938264047108,0.0067000000001543
CCCCC(CC)COC(=O)c1ccc(Nc2nc(Nc3ccc(C(=O)NC(C)(C)C)cc3)nc(Nc3ccc(C(=O)OCC(CC)CCCC)cc3)n2)cc1,765.9999999999998,10.377099999999992,223.3972999999993,56.0,11.0,4.0,12.0,21.0,300.0,4.0,0.0,0.0,4.0,156.45999999999998,331.5664038052276,1.500952066139594,1746.2812771982633,0.0049999999999606
CCCCCCCCCCCC[n+]1ccccc1.[Cl-],283.887,1.899,78.48100000000007,19.0,0.0,0.0,2.0,11.0,110.0,1.0,0.0,0.0,1.0,3.88,125.39342121234756,3.239997015602847e-06,273.8503707227377,99824.0000011266
O=c1c(CO)c/c(=N\Nc2ccc(S(=O)(=O)[O-])c3ccccc23)c(=O)/c1=N/Nc1ccc(S(=O)(=O)[O-])c2ccccc12.[Na+].[Na+],652.5740000000002,-5.246899999999996,149.47059999999985,44.0,13.0,3.0,17.0,7.0,214.0,5.0,0.0,0.0,5.0,217.55,293.30585330668697,2.644997024953454e-06,2360.006030938947,99417.9999965127
Nc1ccc2cc(S(=O)(=O)[O-])c(N=Nc3ccc(N=Nc4cccc(C(=O)[O-])c4O)c4ccccc34)c(O)c2c1.[Na+].[Na+],601.5080000000003,-0.9071999999999988,142.72569999999985,42.0,12.0,3.0,15.0,6.0,200.0,5.0,0.0,0.0,5.0,213.25,282.5069677075792,2.419997479123551e-06,2018.5725239864048,982.700000086298
